City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
348,Caravelas,BR,75.52,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
356,Cockburn Town,TC,77.0,few clouds,21.4612,-71.1419,Osprey Beach Hotel
358,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
359,Tiarei,PF,87.8,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
367,Manzanillo,CU,75.02,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
369,Banda Aceh,ID,80.64,overcast clouds,5.5577,95.3222,Sulthan Hotel International
370,Karratha,AU,78.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
374,Tutoia,BR,77.11,clear sky,-2.7619,-42.2744,Pousada Guará's
375,Zhuhai,CN,75.2,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
377,Auki,SB,78.71,overcast clouds,-8.7676,160.7034,Auki Motel
379,Puerto Carreno,CO,85.26,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
386,Sumbe,AO,79.5,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
399,Weligama,LK,75.76,scattered clouds,5.9667,80.4167,Weligama Bay Resort
402,Salinopolis,BR,77.88,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
406,Santa Maria,BR,89.6,scattered clouds,-29.6842,-53.8069,Hotel Morotin
409,Coracao De Jesus,BR,75.2,clear sky,-16.6853,-44.365,Hotel Neves
415,Am Timan,TD,79.63,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
426,Bama,NG,84.04,clear sky,11.5221,13.6856,UN Humanitarian Hub
430,Mazagao,BR,80.6,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
438,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
447,Mahina,PF,87.8,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
450,Cayenne,GF,77.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
452,Piacabucu,BR,77.85,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
462,Sonoita,MX,82.0,clear sky,31.85,-112.8333,Hotel Nora
468,Pemangkat,ID,80.1,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
470,Valdez,EC,79.7,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
475,Kawalu,ID,79.83,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
481,Pandan,PH,83.89,few clouds,14.0453,124.1694,Bonifacio Lodge
483,Terra Santa,BR,76.1,overcast clouds,-2.1042,-56.4869,Hotel Sarah
485,Tevaitoa,PF,83.28,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
486,Tabid,PH,87.15,scattered clouds,8.1089,123.7831,DC farms
488,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
492,Kununurra,AU,78.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
493,Bambous Virieux,MU,80.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
494,Chauk,MM,75.65,broken clouds,20.8833,94.8167,Bo Khin Guest House
496,Rio Grande,BR,75.99,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
497,Koungou,YT,78.8,clear sky,-12.7336,45.2042,Villa Netibor
501,Valledupar,CO,78.82,overcast clouds,10.4631,-73.2532,Hotel Arawak Upar
506,Gladstone,AU,75.2,light rain,-23.85,151.25,Highpoint International
507,Benguela,AO,79.07,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
508,Maragogi,BR,77.16,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
512,Alepe,CI,78.8,few clouds,5.5004,-3.6631,BENENE 1
523,Biloela,AU,84.58,overcast clouds,-24.4167,150.5,Silo Motor Inn
529,Palenque,MX,75.2,overcast clouds,17.5167,-91.9667,Hotel Mision Palenque
533,Imbituba,BR,78.8,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
536,Nhulunbuy,AU,84.2,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
537,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
