City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
48,Vao,10,NC,2021-03-17 07:41:54,81,-22.6667,167.4833,77.45,22.03
49,Barrow,90,US,2021-03-17 07:41:54,77,71.2906,-156.7887,-7.6,6.91
50,Aykhal,0,RU,2021-03-17 07:41:54,82,66.0,111.5,-15.41,6.13
51,Leningradskiy,100,RU,2021-03-17 07:41:54,88,69.3833,178.4167,-4.45,24.63
52,Wiang Sa,94,TH,2021-03-17 07:41:55,30,8.6359,99.3666,100.0,2.39
53,Beni Suef,0,EG,2021-03-17 07:41:55,32,29.0731,31.0979,69.64,6.11
54,Puerto Madero,75,MX,2021-03-17 07:41:56,76,14.7208,-92.4215,77.9,2.91
55,Ust-Kuyga,6,RU,2021-03-17 07:41:56,93,70.0167,135.6,-16.71,1.48
56,Norman Wells,20,CA,2021-03-17 07:41:56,76,65.282,-126.8329,-18.4,3.44
57,Narsaq,75,GL,2021-03-17 07:41:57,80,60.9167,-46.05,30.2,3.44
58,Lufilufi,75,WS,2021-03-17 07:41:57,89,-13.8745,-171.5986,80.01,4.61
59,Punta Arenas,20,CL,2021-03-17 07:41:57,81,-53.15,-70.9167,48.0,12.66
60,Upernavik,99,GL,2021-03-17 07:41:57,97,72.7868,-56.1549,-1.95,7.05
61,Castro,95,BR,2021-03-17 07:41:58,95,-24.7911,-50.0119,61.93,3.18
62,Verkhnyaya Toyma,100,RU,2021-03-17 07:41:58,97,62.2349,44.9985,32.54,4.56
63,Pencaitland,100,GB,2021-03-17 07:41:58,74,55.9073,-2.8949,45.0,3.0
64,Thompson,75,CA,2021-03-17 07:40:39,57,55.7435,-97.8558,17.6,5.75
65,Doctor Arroyo,0,MX,2021-03-17 07:41:59,13,23.6667,-100.1833,59.41,7.34
66,Pisco,0,PE,2021-03-17 07:41:59,73,-13.7,-76.2167,69.8,8.05
67,Wiarton,90,CA,2021-03-17 07:41:59,69,44.7407,-81.1332,34.0,4.61
68,Georgetown,20,MY,2021-03-17 07:40:15,58,5.4112,100.3354,89.6,8.05
69,Kang,97,BW,2021-03-17 07:42:00,54,-23.6752,22.7876,76.53,7.81
70,Meadow Lake,75,US,2021-03-17 07:42:00,80,34.8014,-106.5436,43.0,9.22
71,Olafsvik,100,IS,2021-03-17 07:42:00,97,64.8945,-23.7142,43.65,17.54
72,Longford,97,IE,2021-03-17 07:42:00,89,53.7333,-7.8,40.82,5.44
73,Chernyshevskiy,100,RU,2021-03-17 07:42:01,87,63.0128,112.4714,17.2,8.97
74,Erzin,54,TR,2021-03-17 07:42:01,70,36.9559,36.2,61.0,21.0
75,Ponta Do Sol,0,PT,2021-03-17 07:42:01,60,32.6667,-17.1,54.0,3.0
76,Alice Springs,84,AU,2021-03-17 07:42:02,17,-23.7,133.8833,87.01,12.66
77,Contamana,95,PE,2021-03-17 07:42:02,98,-7.3333,-75.0167,68.58,1.74
78,Saint-Philippe,0,RE,2021-03-17 07:42:02,66,-21.3585,55.7679,86.0,25.32
