City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
98,Svetlyy,20,RU,2021-03-19 22:52:47,68,54.675,20.1347,26.6,6.71
99,Ban Tak,2,TH,2021-03-19 22:52:47,51,17.0432,99.0813,76.26,4.94
100,Fairbanks,20,US,2021-03-19 22:49:39,72,64.8378,-147.7164,10.99,3.44
101,Floreffe,0,BE,2021-03-19 22:52:48,75,50.4347,4.7585,37.4,8.05
102,Karratha,0,AU,2021-03-19 22:51:45,63,-20.7377,116.8463,74.86,18.86
103,Kodiak,1,US,2021-03-19 22:51:34,29,57.79,-152.4072,32.0,5.75
104,Nanortalik,100,GL,2021-03-19 22:50:55,97,60.1432,-45.2371,32.2,27.81
105,Ribeira Grande,99,PT,2021-03-19 22:51:46,86,38.5167,-28.7,60.42,20.04
106,Luderitz,43,NA,2021-03-19 22:52:10,74,-26.6481,15.1594,64.92,23.55
107,New Norfolk,60,AU,2021-03-19 22:50:50,62,-42.7826,147.0587,60.01,2.51
108,Bilma,44,NE,2021-03-19 22:52:48,17,18.6853,12.9164,78.67,1.61
109,Khasan,100,RU,2021-03-19 22:52:48,92,42.4308,130.6434,36.95,12.26
110,Tongchuan,100,CN,2021-03-19 22:52:49,52,35.0806,109.0897,38.71,5.03
111,Juneau,75,US,2021-03-19 22:51:13,60,58.3019,-134.4197,36.0,5.75
112,Skegness,90,GB,2021-03-19 22:52:49,87,53.1436,0.3363,44.6,6.91
113,Kloulklubed,75,PW,2021-03-19 22:51:04,94,7.0419,134.2556,78.8,4.61
114,Yellowknife,90,CA,2021-03-19 22:51:37,51,62.456,-114.3525,32.0,13.8
115,Sorland,75,NO,2021-03-19 22:51:23,70,67.667,12.6934,41.0,42.5
116,Mubi,57,NG,2021-03-19 22:52:50,36,10.2676,13.2644,86.59,7.4
117,Srednekolymsk,0,RU,2021-03-19 22:51:57,83,67.45,153.6833,-13.9,2.98
118,Severo-Kurilsk,100,RU,2021-03-19 22:51:26,86,50.6789,156.125,28.17,19.22
119,Pitelino,95,RU,2021-03-19 22:52:50,95,54.5777,41.8145,22.21,7.02
120,Port Saint Lucie,0,US,2021-03-19 22:48:26,63,27.2939,-80.3503,78.01,5.99
121,Talnakh,8,RU,2021-03-19 22:51:57,82,69.4865,88.3972,-31.67,6.64
122,Clarence Town,75,AU,2021-03-19 22:52:51,100,-32.5833,151.7833,69.01,9.22
123,Butaritari,22,KI,2021-03-19 22:50:54,77,3.0707,172.7902,81.81,14.54
124,Oksfjord,75,NO,2021-03-19 22:52:51,65,70.2396,22.3479,39.2,5.75
125,Concepcion Del Oro,24,MX,2021-03-19 22:52:51,14,24.6333,-101.4167,72.21,1.5
126,Northam,39,GB,2021-03-19 22:51:20,83,51.0333,-4.2167,46.99,1.99
127,Bedele,44,ET,2021-03-19 22:52:52,86,8.456,36.353,56.98,2.15
128,Ahipara,5,NZ,2021-03-19 22:52:52,53,-35.1667,173.1667,68.13,7.99
129,Borogontsy,100,RU,2021-03-19 22:52:52,96,62.6683,131.1683,13.32,1.74
130,Oriximina,100,BR,2021-03-19 22:52:52,89,-1.7656,-55.8661,76.03,5.64
131,Hobart,75,AU,2021-03-19 22:50:59,82,-42.8794,147.3294,64.99,8.05
132,Grindavik,75,IS,2021-03-19 22:52:53,81,63.8424,-22.4338,37.4,19.57
133,Cabo San Lucas,1,MX,2021-03-19 22:48:54,22,22.8909,-109.9124,80.6,9.22
134,San Rafael Del Sur,51,NI,2021-03-19 22:52:53,42,11.8485,-86.4384,89.55,13.85
135,Avarua,75,CK,2021-03-19 22:48:23,74,-21.2078,-159.775,84.2,16.11
136,Mahebourg,75,MU,2021-03-19 22:51:28,78,-20.4081,57.7,78.8,10.36
137,Banjar,40,ID,2021-03-19 22:52:54,83,-8.19,114.9675,80.6,13.8
138,Hilo,20,US,2021-03-19 22:46:04,50,19.7297,-155.09,78.8,12.66
